# Campo B:  I=253A	V=61.2V
#Filamento: I=60A	V=15.10V
#V_floating=-9.50V
# V(Volt) | I(A)
54	0.00
56	0.01
59	0.37
62	0.51
67	0.63
71	0.72
92	1.12
105	1.32
107	1.35
110	1.39
121	1.49
130	1.54
141	1.57
154	1.61
165	1.63
174	1.66
196	1.73
207	1.88
241	1.92
225	1.94
237	1.98
245	2.01
257	2.07
268	2.11
278	2.14
284	2.17
305	2.25
315	2.32
326	2.40
364	2.70
393	3.01
424	3.35
447	3.80
460	4.09
468	4.39
474	4.89
479	5.21
